time_s,x,y,best_ap,rssi_dbm,assoc_ap,rssi_assoc_dbm
41.00,0.00,22.79,C2,-42.81,H4,-53.32
42.00,0.00,25.01,C2,-43.95,H4,-53.98
43.00,0.00,27.23,C1,-43.84,H4,-54.61
44.00,0.00,29.45,C1,-42.67,H4,-55.22
45.00,0.00,31.67,C1,-41.31,H4,-55.80
46.00,0.00,33.89,C1,-39.69,H4,-56.36
47.00,0.00,36.11,C1,-37.67,H4,-56.90
48.00,0.00,38.33,C1,-34.98,H4,-57.42
49.00,0.00,40.55,C1,-30.97,H4,-57.92
50.00,0.00,42.77,C1,-22.86,H4,-58.41
51.00,0.00,44.99,C1,-23.83,H4,-58.88
52.00,0.00,47.21,C1,-31.34,H4,-59.34
53.00,0.00,49.43,C1,-35.21,H4,-59.78
54.00,0.00,51.65,C1,-37.84,H4,-60.21
55.00,0.00,53.87,H2,-39.32,H4,-60.63
56.00,0.00,56.09,H2,-38.77,H4,-61.03
57.00,0.00,58.31,H2,-38.19,H4,-61.43
58.00,0.00,60.53,H2,-37.57,H4,-61.81
59.00,0.00,62.75,H2,-36.89,H4,-62.19
60.00,0.00,64.97,H2,-36.15,H4,-62.55
61.00,0.00,67.19,H2,-35.34,H4,-62.91
62.00,0.00,69.41,H2,-34.44,H4,-63.26
63.00,0.00,71.63,H2,-33.43,H4,-63.60
64.00,0.00,73.85,H2,-32.28,H4,-63.93
65.00,0.00,76.07,H2,-30.95,H4,-64.26
66.00,0.00,78.29,H2,-29.35,H4,-64.58
67.00,0.00,80.51,H2,-27.37,H4,-64.89
68.00,0.00,82.73,H2,-24.76,H4,-65.19
69.00,0.00,84.95,H2,-20.92,H4,-65.49
70.00,0.00,87.17,H2,-13.52,H4,-65.79
71.00,0.00,89.39,H2,-10.02,H4,-66.07
72.00,0.00,91.61,H2,-19.39,H4,-66.36
73.00,0.00,93.83,H2,-23.83,H4,-66.63
74.00,0.00,96.05,H2,-26.70,H4,-66.90
75.00,0.00,98.27,H2,-28.83,H4,-67.17
76.00,0.00,100.49,H2,-30.52,H4,-67.43
77.00,0.00,102.71,H2,-31.92,H4,-67.69
78.00,0.00,104.93,H2,-33.12,H4,-67.94
79.00,0.00,107.15,H2,-34.17,H4,-68.19
80.00,0.00,109.37,H2,-35.09,H4,-68.44
81.00,0.00,111.59,H2,-35.93,H4,-68.68
82.00,0.00,113.81,H1,-35.26,H4,-68.91
83.00,0.00,116.03,H1,-34.35,H4,-69.15
84.00,0.00,118.25,H1,-33.33,H4,-69.38
85.00,0.00,120.47,H1,-32.16,H4,-69.60
86.00,0.00,122.69,H1,-30.80,H4,-69.82
87.00,0.00,124.91,H1,-29.18,H4,-70.04
88.00,0.00,127.13,H1,-27.15,H4,-70.26
89.00,0.00,129.35,H1,-24.45,H4,-70.47
90.00,0.00,131.57,H1,-20.42,H4,-70.68
91.00,0.00,133.79,H1,-12.24,H4,-70.89
92.00,0.00,136.01,H1,-12.26,H3,-66.23
93.00,0.00,138.23,H1,-20.43,H3,-65.94
94.00,0.00,140.45,H1,-24.46,H3,-65.65
95.00,0.00,142.67,H1,-27.15,H3,-65.36
96.00,0.00,144.89,H1,-29.18,H3,-65.05
97.00,0.00,147.11,H1,-30.80,H3,-64.75
98.00,0.00,149.33,H1,-32.16,H3,-64.43
99.00,0.00,151.55,H1,-33.33,H3,-64.11
100.00,0.00,153.77,H1,-34.35,H3,-63.78
101.00,0.00,155.99,H1,-35.26,H3,-63.44
102.00,0.00,158.21,H1,-36.08,H3,-63.10
103.00,0.00,160.43,H1,-36.82,H3,-62.75
104.00,0.00,160.80,H1,-36.94,H3,-62.69
105.00,0.00,160.80,H1,-36.94,H3,-62.69
106.00,0.00,160.80,H1,-36.94,H3,-62.69
107.00,0.00,160.80,H1,-36.94,H3,-62.69
108.00,0.00,160.80,H1,-36.94,H3,-62.69
109.00,0.00,160.80,H1,-36.94,H3,-62.69
110.00,0.00,158.95,H1,-36.33,H3,-62.98
111.00,0.00,156.73,H1,-35.54,H3,-63.33
112.00,0.00,154.51,H1,-34.66,H3,-63.67
113.00,0.00,152.29,H1,-33.68,H3,-64.00
114.00,0.00,150.07,H1,-32.57,H3,-64.32
115.00,0.00,147.85,H1,-31.28,H3,-64.64
116.00,0.00,145.63,H1,-29.75,H3,-64.95
117.00,0.00,143.41,H1,-27.88,H3,-65.26
118.00,0.00,141.19,H1,-25.45,H3,-65.55
119.00,0.00,138.97,H1,-22.00,H3,-65.85
120.00,0.04,136.76,H1,-16.15,H3,-66.13
121.00,1.64,135.23,H1,-16.45,H3,-66.53
122.00,3.69,134.80,H1,-21.44,H3,-66.84
123.00,5.91,134.80,H1,-25.09,H3,-67.10
124.00,8.13,134.80,H1,-27.61,H3,-67.37
125.00,10.35,134.80,H1,-29.54,H3,-67.63
126.00,12.57,134.80,H1,-31.10,H3,-67.88
127.00,14.79,134.80,C3,-43.90,H3,-54.38
128.00,17.01,134.80,C3,-42.75,H3,-54.06
129.00,19.23,134.80,C3,-41.41,H3,-53.73
130.00,21.45,134.80,C3,-39.80,H3,-53.39
131.00,23.67,134.80,C3,-37.81,H3,-53.04
132.00,25.89,134.80,C3,-35.18,H3,-52.69
133.00,28.11,134.80,C3,-37.63,H3,-53.02
134.00,30.33,134.80,C3,-39.66,H3,-53.36
135.00,32.55,134.80,C3,-41.29,H3,-53.70
136.00,34.77,134.80,C3,-42.65,H3,-54.03
137.00,36.99,134.80,C3,-43.82,H3,-54.35
138.00,39.21,134.80,C7,-44.50,H3,-67.90
139.00,41.43,134.80,C7,-43.43,C5,-80.51
140.00,43.65,134.80,C7,-42.21,C5,-80.29
141.00,45.87,134.80,C7,-40.77,C4,-71.21
142.00,48.09,134.80,C7,-39.02,C4,-70.80
143.00,50.31,134.80,C7,-36.80,C4,-70.37
144.00,51.98,134.82,C7,-34.71,C4,-70.04
145.00,51.96,133.21,C7,-31.85,C4,-70.36
146.00,51.96,130.99,C7,-25.03,C4,-70.79
147.00,51.96,129.86,C7,-20.52,C4,-71.00
148.00,50.29,128.43,C7,-30.58,C4,-71.57
149.00,48.61,126.98,C7,-35.99,C4,-72.12
150.00,46.92,125.53,C7,-39.22,C4,-72.65
151.00,45.24,124.09,C7,-41.54,C4,-73.17
152.00,43.55,122.64,H5,-42.74,C4,-73.67
153.00,41.87,121.19,H5,-42.82,C4,-74.15
154.00,41.47,120.85,H5,-42.84,C4,-74.26
155.00,41.47,120.85,H5,-42.84,C4,-74.26
156.00,41.47,120.85,H5,-42.84,C4,-74.26
157.00,41.47,120.85,H5,-42.84,C4,-74.26
158.00,41.47,120.85,H5,-42.84,C4,-74.26
159.00,41.47,120.85,H5,-42.84,C4,-74.26
160.00,41.91,121.23,H5,-42.82,C4,-74.13
161.00,43.60,122.68,H5,-42.74,C4,-73.65
162.00,45.28,124.12,C7,-41.49,C4,-73.16
163.00,46.97,125.57,C7,-39.15,C4,-72.64
164.00,48.65,127.02,C7,-35.88,C4,-72.11
165.00,50.33,128.46,C7,-30.38,C4,-71.55
166.00,51.96,129.94,C7,-20.52,C4,-70.98
167.00,51.99,132.16,C7,-29.38,C4,-70.57
168.00,50.86,133.89,C7,-34.92,C4,-70.44
169.00,49.00,134.80,C7,-38.18,C4,-70.62
170.00,46.78,134.80,C7,-40.09,C4,-71.04
171.00,44.56,134.80,C7,-41.65,C4,-71.45
172.00,42.34,134.80,C7,-42.95,C4,-71.85
173.00,40.12,134.80,C7,-44.08,C4,-72.24
174.00,37.90,134.80,C3,-44.25,C4,-56.91
175.00,35.68,134.80,C3,-43.15,C4,-56.35
176.00,33.46,134.80,C3,-41.88,C4,-55.77
177.00,31.24,134.80,C3,-40.37,C4,-55.17
178.00,29.02,134.80,C3,-38.53,C4,-54.54
179.00,26.91,134.97,C3,-36.49,C4,-53.97
180.00,26.00,136.98,C3,-37.70,C4,-54.29
181.00,26.00,139.20,C3,-39.72,C4,-54.93
182.00,26.00,141.42,C3,-41.34,C4,-55.54
183.00,26.00,143.64,C3,-42.69,C4,-56.13
184.00,26.00,145.86,H1,-42.44,C4,-56.70
185.00,26.00,148.08,H1,-41.14,C4,-57.24
186.00,26.00,150.30,H1,-39.58,C4,-57.77
187.00,26.00,152.52,H1,-37.66,C4,-58.28
188.00,26.00,154.74,H1,-35.16,C4,-58.77
189.00,26.00,156.96,H1,-31.54,C4,-59.24
190.00,26.00,159.18,H1,-24.96,C4,-59.70
191.00,26.00,160.80,H1,-20.02,C4,-60.03
192.00,26.00,160.80,H1,-20.02,C4,-60.03
193.00,26.00,160.80,H1,-20.02,C4,-60.03
194.00,26.00,160.80,H1,-20.02,C4,-60.03
195.00,26.00,160.80,H1,-20.02,C4,-60.03
196.00,26.00,160.80,H1,-20.02,C4,-60.03
197.00,25.80,131.86,C3,-29.73,C4,-52.75
198.00,25.07,24.66,C5,-32.91,C4,-57.85
199.00,23.19,0.00,H4,-19.54,C4,-62.99
200.00,20.97,0.00,H4,-23.92,C4,-63.34
201.00,18.75,0.00,H4,-26.77,C4,-63.69
202.00,16.53,0.00,H4,-28.88,C4,-64.04
203.00,14.31,0.00,H4,-30.56,C4,-64.37
204.00,12.09,0.00,C2,-45.32,C4,-77.85
205.00,9.87,0.00,C2,-44.36,H2,-53.78
206.00,7.65,0.00,C2,-43.27,H2,-53.44
207.00,5.43,0.00,C2,-42.02,H2,-53.10
208.00,3.21,0.00,C2,-40.54,H2,-52.74
209.00,1.30,0.77,C2,-38.31,H2,-52.31
210.00,0.00,2.43,C2,-34.84,H2,-51.81
211.00,0.00,4.65,C2,-30.74,H2,-51.42
212.00,0.00,6.87,C2,-22.23,H2,-51.03
213.00,0.00,9.09,C2,-21.96,H2,-50.62
214.00,0.00,11.09,C2,-30.09,H2,-50.25
215.00,0.00,13.31,C2,-34.45,H2,-49.82
216.00,0.00,15.53,C2,-37.29,H2,-49.38
217.00,0.00,17.75,C2,-39.40,H2,-48.92
218.00,0.00,19.97,C2,-41.07,H2,-48.45
219.00,0.07,21.05,C2,-41.82,H2,-48.23
220.00,1.75,22.49,C2,-43.58,H2,-48.29
221.00,3.44,23.94,C2,-45.02,H2,-48.34
222.00,5.12,25.39,C2,-46.25,H2,-48.39
223.00,6.80,26.83,C1,-46.77,H2,-48.44
224.00,8.49,28.28,C1,-46.85,H2,-48.49
225.00,10.17,29.73,C1,-46.93,H2,-48.54
226.00,10.49,30.00,C1,-46.95,H2,-48.55
227.00,10.49,30.00,C1,-46.95,H2,-48.55
228.00,10.49,30.00,C1,-46.95,H2,-48.55
229.00,10.49,30.00,C1,-46.95,H2,-48.55
230.00,10.49,30.00,C1,-46.95,H2,-48.55
231.00,10.49,30.00,C1,-46.95,H2,-48.55
232.00,9.97,29.55,C1,-46.92,H2,-48.54
233.00,8.28,28.10,C1,-46.84,H2,-48.49
234.00,6.60,26.66,C1,-46.76,H2,-48.43
235.00,4.91,25.21,C2,-46.11,H2,-48.38
236.00,3.23,23.76,C2,-44.86,H2,-48.33
237.00,1.55,22.32,C2,-43.38,H2,-48.28
238.00,0.00,21.17,C2,-41.86,H2,-48.19
239.00,0.00,23.39,C2,-43.13,H2,-47.70
240.00,0.00,25.61,C2,-44.24,H2,-47.19
241.00,0.00,27.83,C1,-43.54,H2,-46.66
242.00,0.00,30.05,C1,-42.33,H2,-46.11
243.00,0.00,32.27,C1,-40.91,H2,-45.54
244.00,0.00,34.49,C1,-39.19,H2,-44.95
245.00,0.00,36.71,C1,-37.02,H2,-44.33
246.00,0.00,38.93,C1,-34.08,H2,-43.69
247.00,0.00,41.15,C1,-29.44,H2,-43.01
248.00,0.00,43.37,C1,-20.52,H2,-42.31
249.00,0.00,45.59,C1,-26.61,H2,-41.57
250.00,0.00,47.81,C1,-32.58,H2,-40.78
251.00,0.00,50.03,C1,-36.01,H2,-40.18
252.00,0.00,52.25,C1,-38.42,H2,-39.69
253.00,0.00,54.47,H2,-39.17,H2,-39.17
254.00,0.00,56.69,H2,-38.62,H2,-38.62
255.00,0.00,58.91,H2,-38.03,H2,-38.03
256.00,0.00,61.13,H2,-37.39,H2,-37.39
257.00,0.00,63.35,H2,-36.70,H2,-36.70
258.00,0.00,65.57,H2,-35.94,H2,-35.94
259.00,0.00,67.79,H2,-35.11,H2,-35.11
260.00,0.00,70.01,H2,-34.18,H2,-34.18
261.00,0.00,72.23,H2,-33.14,H2,-33.14
262.00,0.00,74.45,H2,-31.94,H2,-31.94
263.00,0.00,76.67,H2,-30.55,H2,-30.55
264.00,0.00,78.89,H2,-28.86,H2,-28.86
265.00,0.00,81.11,H2,-26.75,H2,-26.75
266.00,0.00,83.33,H2,-23.89,H2,-23.89
267.00,0.00,85.55,H2,-19.48,H2,-19.48
268.00,0.00,87.77,H2,-10.02,H2,-10.02
269.00,0.00,89.99,H2,-13.32,H2,-13.32
270.00,0.00,92.21,H2,-20.84,H2,-20.84
271.00,0.00,94.43,H2,-24.71,H2,-24.71
272.00,0.00,96.65,H2,-27.33,H2,-27.33
273.00,0.00,98.87,H2,-29.32,H2,-29.32
274.00,0.00,101.09,H2,-30.92,H2,-30.92
275.00,0.00,103.31,H2,-32.26,H2,-32.26
276.00,0.00,105.53,H2,-33.41,H2,-33.41
277.00,0.00,107.75,H2,-34.43,H2,-34.43
278.00,0.00,109.97,H2,-35.33,H2,-35.33
279.00,0.00,112.19,H1,-35.86,H2,-36.14
280.00,0.00,114.41,H1,-35.02,H2,-36.88
281.00,0.00,116.63,H1,-34.08,H2,-37.56
282.00,0.00,118.85,H1,-33.03,H2,-38.18
283.00,0.00,121.07,H1,-31.81,H2,-38.76
284.00,0.00,123.29,H1,-30.39,H2,-39.31
285.00,0.00,125.51,H1,-28.67,H2,-39.82
286.00,0.00,127.73,H1,-26.50,H2,-40.30
287.00,0.00,129.95,H1,-23.54,H2,-40.99
288.00,0.00,132.17,H1,-18.89,H2,-41.76
289.00,0.00,134.39,H1,-10.02,H2,-42.49
290.00,0.00,136.61,H1,-15.37,H2,-43.19
291.00,0.00,138.83,H1,-21.73,H2,-43.85
292.00,0.00,141.05,H1,-25.27,H2,-44.49
293.00,0.00,143.27,H1,-27.75,H2,-45.10
294.00,0.00,145.49,H1,-29.65,H2,-45.69
295.00,0.00,147.71,H1,-31.19,H2,-46.25
296.00,0.00,149.93,H1,-32.49,H2,-46.80
297.00,0.00,152.15,H1,-33.62,H2,-47.32
298.00,0.00,154.37,H1,-34.60,H2,-47.83
299.00,0.00,156.59,H1,-35.49,H2,-48.32
300.00,0.00,158.81,H1,-36.28,H2,-48.79
301.00,0.00,160.80,H1,-36.94,H2,-49.20
302.00,0.00,160.80,H1,-36.94,H2,-49.20
303.00,0.00,160.80,H1,-36.94,H2,-49.20
304.00,0.00,160.80,H1,-36.94,H2,-49.20
305.00,0.00,160.80,H1,-36.94,H2,-49.20
306.00,0.00,160.80,H1,-36.94,H2,-49.20
307.00,0.00,160.57,H1,-36.86,H2,-49.15
308.00,0.00,158.35,H1,-36.12,H2,-48.69
309.00,0.00,156.13,H1,-35.31,H2,-48.21
